"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 03- 13","908.88","910.55","915.04","884.35","62.73M","-1.12%"
"2024- 03- 12","919.13","880.49","919.60","861.50","65.44M","7.16%"
"2024- 03- 11","857.74","864.29","887.97","841.66","67.84M","-2.00%"
"2024- 03- 08","875.28","951.38","974.00","865.06","114.23M","-5.55%"
"2024- 03- 07","926.69","901.58","927.67","896.02","58.67M","4.47%"
"2024- 03- 06","887.00","880.22","897.24","870.30","57.49M","3.18%"
"2024- 03- 05","859.64","852.70","860.97","834.17","51.46M","0.85%"
"2024- 03- 04","852.37","841.30","876.95","837.19","60.68M","3.60%"
"2024- 03- 01","822.79","800.00","823.00","794.35","47.91M","4.00%"
"2024- 02- 29","791.12","790.94","799.90","783.50","49.88M","1.87%"
"2024- 02- 28","776.63","776.20","789.33","771.25","37.95M","-1.32%"
"2024- 02- 27","787.01","793.81","794.80","771.62","38.94M","-0.49%"
"2024- 02- 26","790.92","797.00","806.46","785.05","49.90M","0.35%"
"2024- 02- 23","788.17","807.90","823.94","775.70","82.94M","0.36%"
"2024- 02- 22","785.38","750.25","785.75","742.20","84.53M","16.40%"
"2024- 02- 21","674.72","680.06","688.88","662.48","58.24M","-2.85%"
"2024- 02- 20","694.52","719.47","719.56","677.34","69.56M","-4.35%"
"2024- 02- 16","726.13","741.00","744.02","725.01","49.53M","-0.06%"
"2024- 02- 15","726.58","738.69","739.75","724.00","41.55M","-1.68%"
"2024- 02- 14","739.00","732.02","742.36","719.38","50.08M","2.46%"
"2024- 02- 13","721.28","704.00","734.50","696.20","59.78M","-0.17%"
"2024- 02- 12","722.48","726.00","746.11","712.50","61.02M","0.16%"
"2024- 02- 09","721.33","705.33","721.85","702.12","43.66M","3.58%"
"2024- 02- 08","696.41","700.74","707.94","694.55","41.11M","-0.65%"
"2024- 02- 07","700.99","683.19","702.20","676.00","48.49M","2.75%"
"2024- 02- 06","682.23","696.30","697.54","663.00","68.31M","-1.60%"
"2024- 02- 05","693.32","682.25","694.97","672.05","67.05M","4.79%"
"2024- 02- 02","661.60","639.74","666.00","636.90","47.66M","4.97%"
"2024- 02- 01","630.27","621.00","631.91","616.50","36.02M","2.44%"
"2024- 01- 31","615.27","614.40","622.69","607.00","45.07M","-1.99%"
"2024- 01- 30","627.74","629.00","634.93","622.60","39.60M","0.49%"
"2024- 01- 29","624.65","612.32","624.89","609.07","33.90M","2.35%"
"2024- 01- 26","610.31","609.60","617.83","605.73","39.03M","-0.95%"
"2024- 01- 25","616.17","623.50","627.19","608.50","47.31M","0.42%"
"2024- 01- 24","613.62","603.04","628.49","599.38","55.71M","2.49%"
"2024- 01- 23","598.73","595.70","599.10","585.85","29.12M","0.37%"
"2024- 01- 22","596.54","600.49","603.31","590.70","45.30M","0.27%"
"2024- 01- 19","594.91","579.89","595.00","572.25","54.35M","4.17%"
"2024- 01- 18","571.07","572.60","576.00","561.07","48.62M","1.88%"
"2024- 01- 17","560.53","563.47","564.71","547.40","47.25M","-0.58%"
"2024- 01- 16","563.82","550.18","568.35","549.00","44.15M","3.06%"
"2024- 01- 12","547.10","546.20","549.70","543.30","35.30M","-0.20%"
"2024- 01- 11","548.22","549.99","553.46","535.60","59.68M","0.87%"
"2024- 01- 10","543.50","536.16","546.00","534.89","52.81M","2.28%"
"2024- 01- 09","531.40","524.01","543.25","516.90","77.31M","1.70%"
"2024- 01- 08","522.53","495.12","522.75","494.79","64.25M","6.43%"
"2024- 01- 05","490.97","484.62","495.47","483.06","41.50M","2.29%"
"2024- 01- 04","479.98","477.67","485.00","475.08","30.44M","0.90%"
"2024- 01- 03","475.69","474.85","481.84","473.20","31.82M","-1.24%"
"2024- 01- 02","481.68","492.44","492.95","475.95","40.84M","-2.73%"